id 	 label 	 desc 	 aliases 	 type 	 cluster_labels
P135	movement	literary, artistic or philosophical movement associated with this person or work	school, architectural style	wikibase-item	Other Topics
P376	located on astronomical body	astronomical body on which features or places are situated		wikibase-item	Location, Place
P134	has dialect	dialects of this language (a single language may be linked to many dialects)	dialect, has as dialect, includes dialect	wikibase-item	Language
P1456	list of monuments	link to the list of heritage monuments in the place/area		wikibase-item	Place
P1336	territory claimed by	administrative divisions that claim control of a given area		wikibase-item	Administrative, Territory
P1454	legal form	legal form of an organization	business entity	wikibase-item	Other Topics
P1455	list of works	link to the article with the works of a person	bibliography	wikibase-item	Other Topics
P1576	lifestyle	typical way of life of an individual, group, or culture		wikibase-item	Other Topics
P1210	supercharger	supercharger or turbocharger used by an engine		wikibase-item	Engine
P1211	fuel system	fuel system that an engine uses		wikibase-item	Engine
P1574	exemplar of	property for manuscripts, autographs, incunabula, distinct printed copies		wikibase-item	Other Topics
P1571	codomain	codomain of a function		wikibase-item	Other Topics
P140	religion	religion of a person or organization (MUST be claimed by the subject or documented by historical sources)	faith, religious affiliation, denomination, life stance	wikibase-item	Source
P263	official residence	the residence at which heads of government and other senior figures officially reside		wikibase-item	Head
P141	IUCN conservation status	conservation status assigned by the International Union for Conservation of Nature		wikibase-item	Other Topics
P169	chief executive officer	highest-ranking corporate officer appointed as the CEO within an organization	CEO, chief executive, ceo	wikibase-item	Office
P287	designer	designer of this item	designed by	wikibase-item	Designed
P166	award received	award or recognition received by a person, organisation or creative work	prize received, awards, honorary title, recognition title, award, honours, honors, medals	wikibase-item	Other Topics
P286	team manager	on-field manager or head coach of this sports club (not to be confused with a general manager, which is not a coaching position)	manager, club manager, head coach, senior coach	wikibase-item	Team, Position, Head
P289	ship class	ship classification (e.g. Nelson-class battleship)		wikibase-item	Other Topics
P167	structure replaced by	the item which replaced this building or structure, at the same geographic location	replaced by	wikibase-item	Location, Building, Replaced
P1568	domain	subset of the input set of a function for which every value has an image		wikibase-item	Set
P1327	professional or sports partner	person a professional or athlete works with		wikibase-item	Other Topics
P1445	fictional universe described in	to link a fictional universe with a work that describes it: <universe> "described in the work:" <work>		wikibase-item	Universe, Fictional
P1204	portal's main topic	primary topic of this portal		wikibase-item	Topic
P1201	space tug	spacecraft vehicle designed to move the payload from a reference orbit to the target orbit, or direct it to an interplanetary trajectory	payload deliverer, upper stage	wikibase-item	Designed
P1322	dual to	dual of a polytope, graph or curve		wikibase-item	Other Topics
P1202	carries scientific instrument	scientific instruments carried by a vessel, satellite, or device that are not required for propelling or navigating	scientific equipment, metering equipment	wikibase-item	Other Topics
P1444	journey destination	intended destination for this journey, flight, sailing, exploration, etc.	destination	wikibase-item	Other Topics
P1441	present in work	work in which this fictional entity (Q14897293) is present. See also P:1080 for in-universe information	from work, from narrative, featured in work	wikibase-item	Fictional
P1321	place of origin (Switzerland)	lieu d'origine of a Swiss national. Not be confused with place of birth or place of residence	lieu d'origine, Heimatort, Bürgerort, luogo d'origine	wikibase-item	Place, Origin
P1200	bodies of water basin category	the category associated with the basin of a bodies of water		wikibase-item	Category
P1560	given name version for other gender	equivalent name (with respect to the meaning of the name) in the same language: female version of a male first name, male version of a female first name. Add primarily the closest matching one		wikibase-item	Language
P172	ethnic group	subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).	ethnicity	wikibase-item	Field, Fictional
P175	performer	musician, music group, or other performer associated with this work, actor portraying a character	band, musician, music group, musical artist, group, singer	wikibase-item	Music
P171	parent taxon	closest parent taxon of the taxon in question	next higher taxon, taxon parent	wikibase-item	Parent, Taxon
P291	place of publication	geographical place of publication of the edition (use 1st edition when referring to works)	release region, publication region, published in	wikibase-item	Place, Published
P170	creator	maker of a creative work or other object (where no more specific property exists)	artist (non-musical), created by, painter, sculptor, inventor	wikibase-item	Other Topics
P159	headquarters location	specific location where an organization's HQ is or has been situated	head office location, HQ, garrison, admin HQ	wikibase-item	Location, Office, Head
P279	subclass of	all of these items are instances of those items; this item is a class of that item	rdfs:subClassOf, hyponym of, is a, type of, is a type of, generalized by, generalization, superclass	wikibase-item	Other Topics
P276	location	location the item, physical object or event is within.  In case of an administrative entity use P131. In case of a distinct terrain feature use P706.	moveable object location, located in, event location, venue, is in, location of item	wikibase-item	Location, Administrative
P155	follows	The immediately prior item in some series of which the subject is part. Use P1365 (replaces) if the preceding item was replaced, e.g. political offices, states and there is no identity between precedent and following geographic unit	succeeds to, previous is, before was, predecessor, preceded by, prequel	wikibase-item	Office, Political, Unit, Immediate, Replaced
P397	astronomical body	major astronomical body the item belongs to	parent body	wikibase-item	Parent
P275	license	license under which this copyrighted work is released	licence	wikibase-item	Underlying
P157	killed by	person who killed the subject	killer, assassin, murderer, murdered by, executioner, assassinated by, slain by, mortally wounded by, executed by, slaughtered by	wikibase-item	Other Topics
P399	companion of	two or more astronomic bodies of the same type relating to each other		wikibase-item	Other Topics
P156	followed by	The immediately following item in some series of which the subject is part. Use P1366 (succeeded by) if the item is replaced, e.g. political offices, states	sequel, successor, succeded by, next is	wikibase-item	Office, Political, Immediate, Replaced
P277	programming language	the programming language(s) in which the software is developed		wikibase-item	Language
P1318	proved by	person who proved something		wikibase-item	Other Topics
P398	child astronomical body	the minor body that belongs to the item	child body	wikibase-item	Other Topics
P1557	manifestation of	this is the physical embodiment of a given concept		wikibase-item	Other Topics
P1678	has vertex figure	the figure exposed when a corner of a polytope is sliced off		wikibase-item	Other Topics
P1558	tempo marking	indication about the speed or pace of a given musical piece		wikibase-item	Music
P1313	office held by head of government	political office that is fulfilled by the head of the government of this item	office of head of government, position of head of government	wikibase-item	Office, Political, Position, Head
P1434	describes the fictional universe	the subject is a work describing a fictional universe, ie where the plot occurs in this universe.	describes fictional universe, fictional universe	wikibase-item	Universe, Fictional
P1435	heritage status	the heritage status of a historical site	designation, listing, listed status, protected status, protection, legal protection, heritage designation	wikibase-item	Designed
P1677	index case of	primary case, patient zero: initial patient in the population of an epidemiological investigation		wikibase-item	Other Topics
P1432	b-side	song/track which is the b-side of this single		wikibase-item	Other Topics
P1433	published in	larger work that a given work was published in	work	wikibase-item	Published
P1312	has facet polytope	facet of a polytope, in the next-lower dimension	facet of a polytope	wikibase-item	Other Topics
P1672	this taxon is source of	links a taxon to natural products it produces. Note that it does not say "this taxon is the source of" or "this taxon is a source of" as this may vary. Some products may be yielded by more than one taxon.		wikibase-item	Source, Taxon, Producer
P1431	executive producer	executive producer of a movie or TV show		wikibase-item	Producer
P1552	has quality	the entity has an inherent or distinguishing non-material characteristic that cannot be migrated	trait, inherent property, attribute, aspect	wikibase-item	Other Topics
P1791	category of people buried here	Wikipedia category for people with a burial site within this area		wikibase-item	Category, People
P1792	category of associated people	Wikipedia category for people associated with this place		wikibase-item	Place, Category, People
P162	producer	producer(s) of this film or music work (film: not executive producers, associate producers, etc.)	record producer	wikibase-item	Music, Film, Producer, Record
P282	writing system	alphabet, character set or other system of writing used by subject language	alphabet	wikibase-item	Language, Set
P161	cast member	production's cast members; to add the roles, use "character role" (P453) as qualifier	film starring, actor, actress, starring	wikibase-item	Film, Member
P163	flag	subject's flag		wikibase-item	Other Topics
P189	location of discovery	where the item was located when discovered	findspot, location of discovered object, discovery place, place of discovery	wikibase-item	Location, Place
P1029	crew member	person that participated operating or serving aboard this vehicle		wikibase-item	Member
P1269	facet of	the main aspect of this topic	aspect of, subitem of, topic of, subtopic of	wikibase-item	Topic
P1027	conferred by	person or organization who awards a prize to or bestows an honor upon a recipient	awarded by, bestowed by, given by	wikibase-item	Other Topics
P1028	donated by	person or organization who donated the object		wikibase-item	Other Topics
P1268	represents organisation	organization that an entity represents		wikibase-item	Represents
P1026	doctoral thesis	thesis that someone wrote to obtain a PhD degree		wikibase-item	Other Topics
P1389	product certification	certification for a product, qualify with P1001 ("applies to jurisdiction") if needed		wikibase-item	Other Topics
P1387	political alignment	political position within the political spectrum	political position	wikibase-item	Political, Position
P1145	Lagrangian point	libration point of an object (default: object-sun-earth)	libration point	wikibase-item	Point
P1142	political ideology	political ideology of this organization	ideology	wikibase-item	Political
P1264	valid in period	time period when a statement is valid	applies to period, time period	wikibase-item	Other Topics
P1382	coincident with	an object that is partially part of, but not fully part of (P361), the subject	partially overlaps, partial concurrency, concurrent with, partially in, concurrency	wikibase-item	Other Topics
P1383	contains settlement	settlement which an administrative division contains		wikibase-item	Administrative
P195	collection	art, museum or bibliographic collection the subject is part of	art collection, museum collection	wikibase-item	Other Topics
P194	legislative body	legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council	representative body, parliament, council, assembly, diet, legislature, rural council, district council, municipal council, aboriginal council, indigenous council, city council	wikibase-item	City, Political, Represents
P197	adjacent station	the stations next to this station, sharing the same line(s)	next station, previous station, next stop, neighbouring station	wikibase-item	Station
P196	minor planet group	is in grouping of minor planets according to similar orbital characteristics	asteroid group	wikibase-item	Other Topics
P190	sister city	twin towns, sister cities, twinned municipalities and other localities	twin town, sister cities, sister town, twin cities, twin towns, sister towns, twin city	wikibase-item	City
P193	main building contractor	the main organization responsible for construction of this structure or building	building contractor, built by, constructed by, builder	wikibase-item	Building
P177	crosses	obstacle (body of water, road, ...) which this bridge crosses over or this tunnel goes under	bridge over, tunnel under	wikibase-item	Underlying
P176	manufacturer	main manufacturer of this product (excluding sub-contracted manufacturers)	manufactured by, maker, mfr, built by, builder, made by	wikibase-item	Other Topics
P179	series	the subject is part of a series, whose sum constitutes the object		wikibase-item	Other Topics
P178	developer	organisation or person that developed this item	developed by	wikibase-item	Other Topics
P1018	language regulatory body	regulatory body of a language	regulatory body	wikibase-item	Language
P1137	fossil found in this unit	fossils that are found in this stratigraphic unit		wikibase-item	Unit
P1136	solved by	person that solved a scientific question		wikibase-item	Other Topics
P1012	including	usually used as a qualifier		wikibase-item	Other Topics
P1134	(OBSOLETE) located in place (use P276)	location of the item (such as village, neighborhood, park). In case of an administrative entity use P131. In case of a distinct terrain feature use P706.	village, neighborhood, park, locale, is in, location of item	wikibase-item	Location, Place, Administrative
P1376	capital of	country, state, department, canton or other administrative division of which the municipality is the governmental seat	county seat of, county seat for	wikibase-item	Administrative
P1013	criterion used	usually used as a qualifier		wikibase-item	Other Topics
P1372	binding of software library	software library in another programming language provided by the subject software binding		wikibase-item	Language
P184	doctoral advisor	person who supervised the doctorate or PhD thesis of the subject		wikibase-item	Other Topics
P183	endemic to	sole location or habitat type where the taxon lives	endemism	wikibase-item	Location, Taxon
P186	material used	material the subject is made of	medium, made from, constructed from, constructed out of, construction material, media, built from, built out of, manufactured from, manufactured out of, crafted from, crafted out of, formed from, formed out of, ingredients, made of	wikibase-item	Other Topics
P185	doctoral student	doctoral student(s) of a professor		wikibase-item	Other Topics
P180	depicts	depicted entity (see also P921: subject heading)	depiction of, painting of, motif, portrait of, landscape of	wikibase-item	Head
P1366	succeeded by	Person or state or item who replaces another in an office, position, etc. Use P156 (followed by) if the item is not replaced, e.g. books in a series	heir, next job holder, successor, after, replaced by	wikibase-item	Office, Position, Replaced
P1001	applies to jurisdiction	the item (an institution, law, ...) belongs to or applies to the value (a jurisdiction: a country, state, municipality, ...)	of jurisdiction, linked to jurisdiction, belongs to jurisdiction, jurisdiction	wikibase-item	Other Topics
P1365	replaces	Person, state or other item who was replaced in an office, position, etc.. Use P167 (structure replaced by) for structures. Use P155 (follows) if the previous item was not replaced and predecessor and successor are identical.	forefather, previous job holder, replaced, preceded by, succeeds, after, predecessor	wikibase-item	Office, Position, Replaced
P1002	engine configuration	configuration of an engine's cylinders	configuration of engine cylinders	wikibase-item	Engine
P1363	points/goal scored by	person who scored a point or goal in a game		wikibase-item	Point
P1000	record held	notable record achieved by a person or entity, include qualifiers for dates held		wikibase-item	Record
P199	business division	divisions of this organization	divisions	wikibase-item	Other Topics
P1478	has immediate cause	nearest, proximate thing that directly resulted in this outcome or effect. Used in conjunction with 'has cause' (i.e. underlying cause) and 'has contributing factor'. See 'Help:Modeling causes'.	has immediate causes, immediate cause, immediate effect of, immediate result of, immediate outcome of, has proximate cause	wikibase-item	Cause, Underlying, Immediate, Contributing
P1479	has contributing factor	thing that significantly influenced, but did not directly cause, this outcome or effect.  Used in conjunction with 'has cause' and 'has immediate cause'.  See 'Help:Modeling causes'.	has contributing factors, contributing factor, significant contributing factor	wikibase-item	Cause, Immediate, Contributing
P1597	Slovene Cultural Heritage designation	type of cultural heritage as designated by the Slovene Cultural Heritage Registry (RKD)		wikibase-item	Designed
P1598	consecrator	bishop who presided as consecrator or co-consecrator of this bishop	consecrated by	wikibase-item	Other Topics
P1595	charge	offence with which someone is charged, at a trial		wikibase-item	Other Topics
P1596	penalty	penalty passed, at a trial		wikibase-item	Other Topics
P1593	defender	Person representing the defendant, at a trial		wikibase-item	Represents
P1594	judge	Judge, magistrate or equivalent, presiding at a trial		wikibase-item	Other Topics
P1591	defendant	person or organization accused, at a trial		wikibase-item	Other Topics
P1592	prosecutor	person representing the prosecuting authority, at a trial		wikibase-item	Represents
P1068	instruction set	instruction set on which the processor architecture is based	ISA	wikibase-item	Set
P1066	student of	person who has taught this person	teacher, professor, pupil of	wikibase-item	Other Topics
P1064	track gauge	spacing of the rails on a railway track	gauge	wikibase-item	Other Topics
P1060	pathogen transmission process	process by which a pathogen is transmitted	transmitted by, transmission process	wikibase-item	Other Topics
P1056	produces	the material produced by a mine, an industrial site or a production process	material produced, ore	wikibase-item	Producer
