propId , label , description , aliases ,  type , count
P1672,this taxon is source of,"links a taxon to natural products it produces. Note that it does not say ""this taxon is the source of"" or ""this taxon is a source of"" as this may vary. Some products may be yielded by more than one taxon.",,wikibase-item,72
P1677,index case of,"primary case, patient zero: initial patient in the population of an epidemiological investigation",,wikibase-item,1
P1678,has vertex figure,the figure exposed when a corner of a polytope is sliced off,,wikibase-item,3
P169,chief executive officer,highest-ranking corporate officer appointed as the CEO within an organization,"CEO, chief executive, ceo",wikibase-item,338
P17,country,sovereign state of this item,"sovereign state, nation",wikibase-item,3064161
P170,creator,maker of a creative work or other object (where no more specific property exists),"artist (non-musical), created by, painter, sculptor, inventor",wikibase-item,37502
P1703,pollination,process that moves pollen from the male anthers of a flower to the female stigma of a flower to accomplish fertilization,pollination by,wikibase-item,2
P1704,pollenizer,source of pollen for an animal,,wikibase-item,1
P171,parent taxon,closest parent taxon of the taxon in question,"next higher taxon, taxon parent",wikibase-item,1859849
P1716,brand,brand of a product,,wikibase-item,149
P172,ethnic group,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it him/herself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such).",ethnicity,wikibase-item,9757
P1731,Fach,describes the special ablilites of an operatic singers voice,,wikibase-item,214
P1740,category for films shot at this location,the object is a category for films shot at/in the subject,"cat films shot, cfsi, cff",wikibase-item,1188
P175,performer,"musician, music group, or other performer associated with this work, actor portraying a character","band, musician, music group, musical artist, group, singer",wikibase-item,142689
P1750,name day,"day of the year associated with a first/given name. A qualifier should be used to identify the calendar that is being used. Distinguish from ""feast day"" (P:P841)",,wikibase-item,1363
P1753,list related to category,Wikimedia list equivalent to a Wikimedia category,,wikibase-item,164
P1754,category related to list,Wikimedia category equivalent to a Wikimedia list,,wikibase-item,163
P176,manufacturer,main manufacturer of this product (excluding sub-contracted manufacturers),"manufactured by, maker, mfr, built by, builder, made by",wikibase-item,20769
P177,crosses,"obstacle (body of water, road, ...) which this bridge crosses over or this tunnel goes under","bridge over, tunnel under",wikibase-item,3109
P1773,attributed to,uncertain but likely creator of an artwork,,wikibase-item,1
P1774,workshop of,artist whose work group are the likely creator of an artwork,,wikibase-item,1
P178,developer,organisation or person that developed this item,developed by,wikibase-item,15908
P1789,chief operating officer,the chief operating officer of an organization,,wikibase-item,4
P179,series,"the subject is part of a series, whose sum constitutes the object",,wikibase-item,31754
P1791,category of people buried here,Wikipedia category for people with a burial site within this area,,wikibase-item,202
P1792,category of associated people,Wikipedia category for people associated with this place,,wikibase-item,5812
P180,depicts,depicted entity (see also P921: subject heading),"depiction of, painting of, motif, portrait of, landscape of",wikibase-item,52289
P1809,choreographer,person(s) who did the choreography,,wikibase-item,5
P1811,list of episodes,link to the article with the list of episodes for this series,,wikibase-item,9
P1817,addressee,person or organization to whom a letter or note is addressed,,wikibase-item,11
P183,endemic to,sole location or habitat type where the taxon lives,endemism,wikibase-item,616
P1830,owner of,entities owned by the subject,,wikibase-item,2
P184,doctoral advisor,person who supervised the doctorate or PhD thesis of the subject,,wikibase-item,632
P185,doctoral student,doctoral student(s) of a professor,,wikibase-item,249
P186,material used,material the subject is made of,"medium, made from, constructed from, constructed out of, construction material, media, built from, built out of, manufactured from, manufactured out of, crafted from, crafted out of, formed from, formed out of, ingredients, made of",wikibase-item,44497
P189,location of discovery,where the item was located when discovered,"findspot, location of discovered object, discovery place, place of discovery",wikibase-item,306
P19,place of birth,"the most specific known (e.g. city instead of country, or hospital instead of city)","birthplace, born in, POB, birth place, location born, born at, birth location, location of birth",wikibase-item,737895
P190,sister city,"twin towns, sister cities, twinned municipalities and other localities","twin town, sister cities, sister town, twin cities, twin towns, sister towns, twin city",wikibase-item,38470
P193,main building contractor,the main organization responsible for construction of this structure or building,"building contractor, built by, constructed by, builder",wikibase-item,358
P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council","representative body, parliament, council, assembly, diet, legislature, rural council, district council, municipal council, aboriginal council, indigenous council, city council",wikibase-item,807
P195,collection,"art, museum or bibliographic collection the subject is part of","art collection, museum collection",wikibase-item,40197
P196,minor planet group,is in grouping of minor planets according to similar orbital characteristics,asteroid group,wikibase-item,50391
P197,adjacent station,"the stations next to this station, sharing the same line(s)","next station, previous station, next stop, neighbouring station",wikibase-item,25025
P199,business division,divisions of this organization,divisions,wikibase-item,467
P20,place of death,"the most specific known (e.g. city instead of country, or hospital instead of city)","deathplace, died in, death place, POD, location of death, death location",wikibase-item,339545
P200,lake inflows,"major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none","inflow, inflows, lake inflow",wikibase-item,436
P201,lake outflow,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation","outflows, outflow",wikibase-item,353
P205,basin country,countries that have drainage to/from or border the lake,basin countries,wikibase-item,161
P206,located next to body of water,lake or river,"on lake, next to lake, located on body of water, On river, on bay, on harbour, on shore of",wikibase-item,1066
P208,executive body,branch of government for the daily administration of the state,executive branch,wikibase-item,71
P209,highest judicial authority,"supreme judicial body within a country, administrative division, or other organization",,wikibase-item,60
P21,sex or gender,"Sexual identity of  subject. Main: male (Q6581097), female (Q6581072), transgender female (Q1052281),  transgender male (Q2449503). For animals, use male animal (Q44148), female animal (Q43445). For groups of  same gender, use ""subclass of"" (P279)","gender identity, gender expression, gender, biological sex, man, woman, male, female, intersex, sex",wikibase-item,2611401
