propId , label , description , aliases ,  type , count
P795,distance along,distance from a defined datum point along a specified linear feature,,wikibase-item,9
P796,geo datum,zero point for measurement (qualifier for P795),,wikibase-item,3
P797,executive authority,entity having executive power of decision in matters relating to the entity,,wikibase-item,3
P800,notable works,subject's notable scientific work or work of art,"literary works, bibliography, work, works",wikibase-item,20118
P802,student,notable student(s) of a person,,wikibase-item,598
P803,professorship,professorship position held by this academic person,,wikibase-item,76
P805,subject of,(qualifier only) item detailing the relation established by the statement,"dedicated item, article, artfor",wikibase-item,334
P807,separated from,subject was founded or started by separating from identified object,"forked from, schism from, seceded from",wikibase-item,34
P81,connecting line,railway or public transport line(s) subject is directly connected to,"railway line, rapid transit line",wikibase-item,10846
P811,academic minor,minor someone studied at college/university,,wikibase-item,1
P812,academic major,major someone studied at college/university,,wikibase-item,34
P814,IUCN protected areas category,protected areas category by the World Commission on Protected Areas. Used with dedicated items for each category.,,wikibase-item,6708
P816,decays to,what isotope does this radioactive isotope decay to,,wikibase-item,4875
P817,decay mode,"type of decay that a radioactive isotope undergoes (should be used as a qualifier for ""decays to"")",,wikibase-item,3
P822,mascot,"mascot of an organization, e.g. a sports team or university",,wikibase-item,45
P823,speaker,someone who takes a role as speaker in events like keynotes or presentations,,wikibase-item,36
P825,dedicated to,person or organization to whom the subject was dedicated,,wikibase-item,255
P826,tonality,key of a musical composition,"musical key, key of musical composition",wikibase-item,370
P828,has cause,"underlying cause, thing that ultimately resulted in this effect.  See 'Help:Modeling causes' for usage notes.","causes, cause, has causes, has underlying cause, underlying cause, ultimate cause, ultimate causes, initial cause, effect of, outcome of, result of, has reason, reason, caused by",wikibase-item,165
P831,parent club,parent club of this team,"parent team, major league affiliate, affiliate of",wikibase-item,79
P832,public holiday,"official public holiday that occurs in this place, usually a non-working day","bank holiday, legal holiday, national holiday",wikibase-item,347
P833,interchange station,"station to which passengers can transfer to from this station, normally without extra expense","OSI, out of station interchange",wikibase-item,79
P834,train depot,"depot which serves this railway line, not public stations","railway depot, depot",wikibase-item,6
P837,day in year for periodic occurrence,when a specific holiday or periodic event occurs. Can be used as property or qualifier,"day of periodic occurrence, day in year, day, date",wikibase-item,531
P84,architect,person or architectural firm that designed this building,,wikibase-item,5470
P840,narrative set in,the narrative of this work is set in this location,setting location,wikibase-item,19372
P841,feast day,saint's principal feast day,,wikibase-item,682
P85,anthem,name of the subject's anthem,,wikibase-item,540
P852,ESRB rating,North American video game content rating - appropriate values are on property's talk page,Entertainment Software Rating Board rating,wikibase-item,3472
P853,CERO rating,Japanese video game rating system - see talk page for appropriate values,Computer Entertainment Rating Organization rating,wikibase-item,1372
P859,sponsor,enterprise that sponsors this item,,wikibase-item,103
P86,composer,person(s) who wrote the music; also use P676 for lyricist,"songwriter, composed by, musical score by, music by",wikibase-item,9407
P868,foods traditionally associated,foods consumed during the ceremony or associated with a certain settlement,,wikibase-item,12
P87,librettist,author of the libretto (words) of an opera,,wikibase-item,434
P870,instrumentation,combination of musical instruments employed in a composition,,wikibase-item,111
P872,printed by,"organization that printed the creative work (if different from ""publisher"")",printer,wikibase-item,14
P873,phase point,phase point to describe critical point and triple point (see talk page for an example),,wikibase-item,4
P878,avionics,"notable sensors, electronics, and other avionics installed in the subject aircraft","sensors, electronics",wikibase-item,162
P88,commissioned by,person or organization that commissioned this work,"client, commissioner, made for, built for",wikibase-item,565
P880,CPU,central processing unit found within the subject item,central processing unit,wikibase-item,563
P881,type of variable star,type of variable star,variable type,wikibase-item,32
P885,origin of the watercourse,main source of a river or stream,"source, river source, stream source",wikibase-item,183
P887,based on heuristic,indicates that the property value is determined based on some heuristic (Q201413).,,wikibase-item,2
P9,sister,subject has the object as their sister (female sibling),"has sister, sibling",wikibase-item,30332
P908,PEGI rating,European video game rating system - see talk page for appropriate values,,wikibase-item,2906
P91,sexual orientation,"the sexual orientation of the person - use IF AND ONLY IF they have stated it themselves, unambiguously, or it has been widely agreed upon by historians after their death",,wikibase-item,3186
P910,topic's main category,main category of this topic,"main category, category for this topic",wikibase-item,319704
P912,facility,"the subject item has this type of facility, e.g. toilet, car park",,wikibase-item,109
P913,notation,mathematical notation or another symbol,,wikibase-item,58
