Reference Item 	 Label 
Q11516850	Yorichika Arima	1
Q11517524	Asahi Shimbun Publications	1
Q1151854	Lally Weymouth	2
Q11530632	Matsudaira Yoriyuki	1
Q1154227	Pokémon Platinum	7
Q11543895	null	1
Q11544192	null	2
Q11544202	null	1
Q11544859	Empress Utsusikome	1
Q11547371	null	2
Q1154741	Kurdish Wikipedia	1
Q11549546	Hikami no Iratsume	1
Q11552221	Ike no zenni	1
Q11554102	null	1
Q1155502	Ministry of Foreign Affairs of the People's Republic of China	2
Q1155740	Statistics Canada	2
Q1155892	Ab urbe condita libri	1
Q11563994	null	2
Q11564318	null	1
Q11564369	null	2
Q11570693	Mononobe no Okoshi	1
Q11571754	Empress Sahohime	1
Q11573061	null	1
Q11573919	Zuikei-in	1
Q11577035	null	1
Q1157807	Schilder-boeck	1
Q1158	International Association of Athletics Federations	6
Q11580424	Japanese destroyer Shirayuki	1
Q115852	Date Tadamune	1
Q115888	Anne-Marie Blanc	1
Q11588867	Kamuo Ichihime	1
Q1158913	Damrong Rajanubhab	1
Q11597250	Anahobe no Hashihito no Himemiko	1
Q11599269	Takedono	1
Q1159977	Pedro Ansúrez	1
Q11604899	Keizu San'yō	2
Q11605937	null	2
Q11608277	null	2
Q11608286	null	1
Q11608386	null	2
Q11608420	null	1
Q1160945	BBC News	15
Q11609951	Yoshi-hime	1
Q11610207	Hashiba Hidekatsu	1
Q11610448	null	1
Q11610788	null	1
Q11610800	null	1
Q11610823	null	1
Q11618411	Hiroshi Aramata	1
Q1162282	Post-office box	1
Q11623082	null	2
Q11623084	Fujiwara no Kanetaka	1
Q11623154	null	1
Q11623184	Fujiwara no Nobutaka	1
Q11623187	null	2
Q11623220	null	1
Q11623464	null	1
Q11623484	null	1
Q11623567	null	1
Q11623647	null	1
Q11625210	null	1
Q11630342	Kakukai Enjō	1
Q116335	MSC Musica	1
Q11636789	Ashikaga Ujihime	2
Q11636790	Ashikaga Yasuuji	2
Q11636836	Ashikaga Yoriuji	1
Q116462	Helen Gahagan Douglas	1
Q1164910	Dansk Biografisk Leksikon	2
Q11650658	null	1
Q1165538	Nationalencyklopedin	1
Q11657990	Ano Zenjō	2
Q1166098	Ministry of Foreign Affairs of the Republic of Kazakhstan	4
Q11667126	null	1
Q11669188	null	1
Q11673	Andrew Cuomo	1
Q11674689	USS LSM(R)-189	1
Q11675984	USS Sabine	1
Q11679473	USS Oglethorpe	1
Q11679475	USS St. Mary's River	1
Q11680174	null	10
Q11681334	null	1
Q11682749	SMS B111	1
Q11685811	José Francés	4
Q1168652	null	1
Q11701	United States House of Representatives	1
Q11704345	null	1
Q11705969	SM U-17 (Austria-Hungary)	1
Q11706972	HMS Caicos (K505)	1
Q11707282	USNS Fall River	1
Q1170739	Ernest George Jansen	1
Q11707534	Kunlun Shan	1
Q11710554	German submarine U-318	1
Q11711331	HNLMS Soemba	1
Q11715560	null	1
Q11715955	null	2
Q11719581	null	1
Q11723048	Chantal Poullain	1
Q11727270	null	1
Q11728890	null	3
Q11729304	Juliusz Kindermann	1
Q1173681	Coön	1
Q11739	Lahore	1
Q117412	François Simon	1
Q1174197	David Denby	1
Q1174365	Grand dictionnaire universel du XIXe siècle	6
Q1174676	David Hare	1
Q117530	HMAS Brisbane	1
Q11763404	null	2
Q11765187	null	1
Q11767670	null	1
Q11769227	null	1
Q11774393	null	1
Q11781490	Ministry of Labour and Social Affairs	13
Q11781499	Ministry of the Interior	36
Q11785153	null	2
Q1178730	Yahualica	1
Q11789729	NUKAT	3
Q1179560	Fernanda Pivano	1
Q1180325	De Standaard	1
Q1180344	De Telegraaf	1
Q1180599	Dalma Mádl	1
Q11812726	null	1
Q11813576	Patrycja Markowska	1
Q1181444	Debby Applegate	1
Q11815270	Państwowy Instytut Badawczy	1
Q11815967	null	1
Q11817690	null	2
Q11826623	null	1
